ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
17476,0,102,15.800000190734863,13.899999618530273,4.960000038146973,12.510000228881836,-93.125,35.125
17477,0,600,-1.600000023841858,12.199999809265137,22.040000915527344,10.319999694824219,-123.125,58.625
17478,0,324,0.4000000059604645,11.300000190734863,4.170000076293945,13.550000190734863,-95.29166666666669,51.625
17479,0,397,3.799999952316284,11.800000190734863,24.260000228881836,10.180000305175781,-70.45833333333337,45.125
17480,0,1641,6.800000190734863,15.300000190734863,13.40999984741211,11.510000228881836,-105.95833333333334,43.45833333333336
17481,0,121,26,11.600000381469727,54.9900016784668,9.850000381469727,-88.20833333333336,13.375
17482,0,812,9.5,14.600000381469727,83.910003662109375,8.670000076293945,-122.79166666666669,42.70833333333336
17483,0,195,21.100000381469727,16.399999618530273,4.079999923706055,12.319999694824219,-112.95833333333334,31.375
17484,0,126,25.299999237060547,9.399999618530273,17.170000076293945,11.539999961853027,-84.875,13.375
17485,0,2019,4.800000190734863,13.199999809265137,24.8700008392334,10.720000267028809,-103.875,43.95833333333336
17486,0,110,16.200000762939453,13,7.230000019073486,12.329999923706055,-80.5416666666667,34.375
17487,0,310,1.399999976158142,12.300000190734863,5.579999923706055,11.979999542236328,-80.20833333333336,48.04166666666669
17488,0,365,14.800000190734863,13.199999809265137,39.189998626708984,10.229999542236328,-82.7916666666667,34.95833333333335
17489,0,58,4.900000095367432,10.800000190734863,6.369999885559082,12.1899995803833,-72.875,46.375
17490,0,1330,9.800000190734863,16.799999237060547,4.539999961853027,13.640000343322754,-103.70833333333334,40.20833333333336
17491,0,87,6,10.199999809265137,4.46999979019165,12.630000114440918,-74.875,45.291666666666686
17492,0,586,15,14.800000190734863,10.789999961853027,11.979999542236328,-99.54166666666669,35.541666666666686
17493,0,1379,9.300000190734863,15.800000190734863,3.9100000858306885,13.739999771118164,-103.125,40.20833333333336
17494,0,309,3,11,14.5600004196167,11.109999656677246,-80.125,47.041666666666686
17495,0,2035,-7.599999904632568,10.899999618530273,124.83000183105469,8.369999885559082,-139.04166666666669,60.7916666666667
17496,0,244,4.900000095367432,10.399999618530273,4.400000095367432,12.800000190734863,-80.0416666666667,45.791666666666686
17497,0,248,3.799999952316284,12.199999809265137,0.4399999976158142,14.649999618530273,-96.95833333333336,48.125
17498,0,12,19.399999618530273,12.199999809265137,2.509999990463257,13.260000228881836,-81.70833333333336,31.29166666666668
17499,0,161,17,13.300000190734863,7.510000228881836,12.140000343322754,-88.95833333333336,32.625
17500,0,189,-2.700000047683716,10.399999618530273,2.0799999237060547,13.109999656677246,-93.45833333333336,54.70833333333336
17501,0,328,3,12.100000381469727,20.1200008392334,10.989999771118164,-78.2916666666667,46.45833333333336
17502,0,362,6.699999809265137,11.800000190734863,4.090000152587891,12.899999618530273,-93.375,43.95833333333336
17503,0,227,1.600000023841858,7.099999904632568,12.65999984741211,11.369999885559082,-63.20833333333337,49.45833333333336
17504,0,763,7.300000190734863,12.199999809265137,52.560001373291016,8.890000343322754,-120.20833333333334,47.45833333333336
17505,0,743,-4.199999809265137,12.800000190734863,27.200000762939453,10.0600004196167,-135.95833333333334,62.5416666666667
17506,0,858,12.399999618530273,15.899999618530273,2.0999999046325684,14.029999732971191,-100.625,37.70833333333335
17507,0,92,18.200000762939453,13.699999809265137,5.03000020980835,12.470000267028809,-83.0416666666667,32.20833333333334
17508,0,904,-3.200000047683716,12,13.979999542236328,11.020000457763672,-129.79166666666669,59.958333333333364
17509,0,669,12.899999618530273,14.399999618530273,1.2699999809265137,14.779999732971191,-99.29166666666669,37.791666666666686
17510,0,396,9.300000190734863,12.199999809265137,11.109999656677246,12.800000190734863,-95.79166666666669,41.875
